Error log data for Pathfinder
time, t_taken, offerror, angleerror, offsetpid, anglepid, output
1491944043489, 1194, 14, 1, 21.26, 3.36, 156
1491944043738, 248, 14, 1, 7.58, 1.53, 141
1491944043811, 72, 13, 1, 5.89, 1.67, 139
1491944043869, 58, 12, 1, 5.77, 1.17, 138
1491944043933, 62, 12, 1, 5.12, 1.42, 138
1491944044004, 70, 12, 1, 6.13, 1.20, 139
1491944044093, 87, 12, 1, 5.92, 1.18, 139
1491944044174, 79, 12, 1, 6.56, 0.96, 139
1491944044221, 46, 13, 0, 7.89, 0.63, 140
1491944044298, 76, 14, 0, 7.80, 0.54, 140
1491944044372, 72, 14, 0, 7.35, 0.60, 139
1491944044454, 82, 14, 0, 8.04, 0.13, 140
1491944044538, 83, 15, 0, 7.94, 0.26, 140
1491944044579, 40, 16, 0, 10.04, -0.47, 141
1491944044664, 84, 17, 0, 9.78, -1.02, 140
1491944044789, 124, 17, 0, 8.97, -0.77, 140
1491944044870, 79, 18, -1, 10.07, -1.53, 140
1491944044958, 79, 19, -1, 11.07, -2.00, 141
1491944045041, 81, 19, -1, 9.58, -1.89, 139
1491944045098, 57, 20, -2, 11.11, -2.69, 140
1491944045178, 75, 20, -2, 10.53, -2.35, 140
1491944045222, 43, 20, -2, 9.70, -2.72, 138
1491944045306, 83, 20, -2, 9.80, -2.77, 139
1491944045365, 59, 19, -2, 9.39, -3.09, 138
1491944045453, 85, 17, -4, 7.32, -5.46, 133
1491944045530, 75, 17, -5, 8.24, -7.25, 132
1491944045594, 62, 15, -6, 6.46, -7.88, 130
1491944045672, 77, 16, -8, 8.51, -10.28, 130
1491944045788, 109, 16, -11, 8.20, -13.94, 126
1491944045838, 50, 13, -12, 4.04, -13.98, 122
1491944045938, 99, 12, -15, 5.88, -17.61, 120
1491944046015, 75, 13, -16, 6.91, -17.54, 121
1491944046043, 27, 16, -18, 10.76, -20.07, 122
1491944046132, 87, 14, -19, 6.19, -21.76, 116
1491944046197, 64, 13, -20, 5.36, -20.37, 116
1491944046236, 38, 8, -20, -0.29, -20.62, 111
1491944046302, 65, 6, -20, 0.25, -20.87, 111
1491944046371, 64, 2, -21, -2.17, -22.35, 107
1491944046408, 31, -1, -22, -4.40, -22.83, 104
1491944046490, 82, -7, -25, -9.70, -28.54, 93
1491944046566, 74, -8, -26, -5.51, -26.82, 99
1491944046637, 69, -13, -28, -12.36, -30.03, 89
1491944046703, 58, -16, -27, -11.50, -27.90, 92
1491944046811, 107, -19, -28, -11.86, -29.71, 90
1491944046868, 56, -20, -29, -11.12, -29.54, 91
1491944046939, 71, -25, -28, -17.53, -27.07, 87
1491944047019, 69, -32, -26, -23.49, -24.60, 83
1491944047086, 65, -39, -25, -26.25, -23.77, 81
1491944047119, 29, -43, -24, -26.30, -24.38, 81
1491944047169, 49, -43, -24, -22.23, -24.86, 84
1491944047266, 96, -49, -24, -30.28, -24.90, 76
1491944047347, 80, -54, -25, -32.88, -25.90, 73
1491944047401, 39, -61, -26, -37.17, -27.11, 67
1491944047486, 82, -61, -29, -30.22, -32.82, 68
1491944047575, 88, -55, -33, -21.48, -36.60, 73
1491944047630, 53, -54, -34, -26.81, -34.98, 70
1491944047698, 66, -55, -33, -28.38, -33.74, 69
1491944047803, 103, -59, -32, -33.71, -31.12, 67
1491944047869, 65, -67, -31, -42.15, -30.88, 58
1491944047937, 67, -79, -28, -50.93, -25.27, 55
1491944048029, 91, -83, -26, -45.64, -24.70, 61
1491944048098, 69, -83, -25, -42.79, -23.62, 65
1491944048169, 69, -79, -24, -34.62, -23.71, 73
1491944048204, 33, -74, -23, -32.39, -21.98, 77
1491944048292, 71, -72, -21, -34.63, -20.11, 77
1491944048361, 68, -68, -21, -30.65, -21.58, 79
1491944048414, 51, -65, -22, -30.13, -23.89, 77
1491944048477, 52, -63, -23, -29.62, -25.00, 77
1491944048567, 90, -61, -26, -28.86, -28.49, 74
1491944048635, 66, -62, -26, -32.03, -27.18, 72
1491944048691, 55, -61, -27, -30.30, -27.99, 73
1491944048745, 53, -61, -28, -29.82, -30.14, 72
1491944048799, 53, -59, -29, -28.81, -30.77, 72
1491944048884, 84, -65, -28, -38.89, -27.08, 66
1491944048962, 78, -70, -27, -39.19, -25.92, 66
1491944049030, 66, -79, -24, -49.75, -21.37, 60
